Test Case ID,Test Scenario,Module,Objective,Pre-requisites,Test Steps,Expected Result (ER),Actual Result,Platform,Status,Severity,Priority,Remark
TC_001,Verify login with valid credentials and TFA,Login/TFA,Ensure user can log in successfully with TFA,User account exists,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Enter valid OTP sent to registered contact; 5. Click Submit,User is redirected to dashboard after OTP verification,,,Web,,High,P1
TC_002,Verify login with invalid OTP,Login/TFA,Ensure invalid OTP is rejected,User account exists,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Enter invalid OTP; 5. Click Submit,Error message 'Invalid OTP' shown; access denied,,,Web,,High,P1
TC_003,Verify login with blank OTP field,Login/TFA,Validate mandatory OTP field,None,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Leave OTP field blank; 5. Click Submit,Error message 'OTP required' shown,,,Web,,High,P1
TC_004,Verify login with alphabetic/special characters in OTP field,Login/TFA,Validate numeric-only OTP field,None,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Enter alphabetic/special characters in OTP field; 5. Click Submit,Error message 'OTP must be numeric' shown,,,Web,,High,P1
TC_005,Verify OTP expiration handling,Login/TFA,Ensure expired OTP is rejected,User account exists,1. Open login page; 2. Enter valid username and password; 3. Click Login; 4. Wait for OTP to expire; 5. Enter expired OTP; 6. Click Submit,Error message 'OTP expired' shown; user prompted to request new OTP,,,Web,,High,P1
TC_006,Verify multiple login attempts require TFA each time,Login/TFA,Ensure TFA triggers for every login,User account exists,1. Login with valid credentials and OTP; 2. Logout; 3. Login again with valid credentials; 4. Enter OTP,TFA is required for each login; access granted after OTP verification,,,Web,,High,P1
TC_007,Verify alternate flow for OTP request retry,Login/TFA,Ensure new OTP can be requested before expiration,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Click 'Resend OTP' before expiration; 5. Enter new OTP,"New OTP is generated, previous OTP invalidated; access granted after new OTP verification",,,Web,,Medium,P2
TC_008,Verify multiple invalid OTP attempts lock account or prompt alternative authentication,Login/TFA,Ensure brute-force prevention,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter invalid OTP 3+ times,Account is temporarily locked or alternative authentication prompted,,,Web,,High,P1
TC_009,Verify OTP length boundaries (min/max),Login/TFA,Validate OTP length,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter OTP shorter/longer than required; 5. Click Submit,Error message for incorrect OTP length shown,,,Web,,Medium,P2
TC_010,Verify OTP with leading/trailing whitespace,Login/TFA,Ensure whitespace is handled,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter OTP with spaces; 5. Click Submit,Whitespace is stripped; OTP validated correctly,,,Web,,Medium,P2
TC_011,Verify session established after valid OTP,Login/TFA,Ensure session tokens generated,User account exists,1. Complete login and OTP verification,Session tokens generated; user granted access,,,Web,,Medium,P2
TC_012,Verify TFA applies to all user types,Login/TFA,Ensure TFA for all roles,Admin/user/manager accounts exist,1. Login as each user type; 2. Complete TFA,TFA required for all user types,,,Web,,High,P1
TC_013,Verify system clock out of sync handling,Login/TFA,Ensure OTP validation with clock sync,User account exists; system clock misaligned,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter OTP; 5. Click Submit,System resynchronizes or rejects OTP with guidance,,,Web,,Medium,P2
TC_014,Verify OTP delivered successfully via SMS/email,OTP Delivery,Ensure OTP is delivered promptly,User account exists with valid contact,1. Open login page; 2. Enter valid credentials; 3. Click Login,OTP delivered within 10 seconds to registered contact,,,Web,,High,P1
TC_015,Verify OTP not received due to network failure,OTP Delivery,Ensure error handling for delivery failure,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Simulate network failure,Error message shown; user can retry OTP delivery,,,Web,,High,P1
TC_016,Verify multiple OTP requests (sequential/rapid),OTP Delivery,Ensure rate limiting and unique OTPs,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Click 'Resend OTP' multiple times,New OTP generated each time; previous OTPs invalidated; rate limiting applied,,,Web,,Medium,P2
TC_017,Verify OTP duplicate prevention,OTP Delivery,Ensure only one unique OTP sent,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Click 'Resend OTP' rapidly,Only one unique OTP sent; duplicate requests handled,,,Web,,Medium,P2
TC_018,Verify system load handling for OTP delivery,OTP Delivery,Ensure delivery under high load,Multiple user accounts exist,1. Simulate 100+ users logging in simultaneously,All OTP deliveries processed without delay,,,Web,,High,P1
TC_019,Verify OTP delivery logging (success/failure),OTP Delivery,Ensure audit logging,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Complete OTP delivery (success/failure),"System logs delivery status with timestamp, user ID, method",,,Web,,Medium,P2
TC_020,Verify OTP service provider failover,OTP Delivery,Ensure failover to secondary provider,User account exists; primary provider down,1. Open login page; 2. Enter valid credentials; 3. Click Login,OTP delivered via secondary provider,,,Web,,High,P1
TC_021,"Verify OTP format validation (numeric, length)",OTP Delivery,Ensure OTP format is correct,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login,OTP is numeric and correct length,,,Web,,Medium,P2
TC_022,Verify 'Resend OTP' button visibility,OTP Delivery,Ensure user can request new OTP,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Wait without entering OTP,'Resend OTP' button visible; user can request new OTP,,,Web,,Medium,P2
TC_023,Verify OTP expiry just before/after limit,OTP Delivery,Ensure expiry boundary handling,User account exists,1. Open login page; 2. Enter valid credentials; 3. Click Login; 4. Enter OTP at 9:59 and after 10:00,OTP accepted just before expiry; rejected just after,,,Web,,Medium,P2
TC_024,Verify single tab login best practice,Session Management,Ensure login works with single tab,User account exists,1. Open multiple tabs; 2. Close all but one; 3. Login in single tab,Login completes; OTP delivered; session established,,,Web,,High,P1
TC_025,Verify tab duplication after login maintains session,Session Management,Ensure session persists across duplicated tabs,User account exists,1. Login in one tab; 2. Duplicate tab,Session maintained; no re-authentication required,,,Web,,High,P1
TC_026,Verify session token sharing across duplicated tabs,Session Management,Ensure session state is synchronized,User account exists,1. Login in one tab; 2. Duplicate tab; 3. Navigate in both tabs,Session token shared; state synchronized,,,Web,,Medium,P2
TC_027,Verify logout impact on duplicated tabs,Session Management,Ensure consistent logout behavior,User account exists,1. Login in multiple duplicated tabs; 2. Logout in one tab,All tabs logout or only current tab logs out (per design),,,Web,,Medium,P2
TC_028,Verify multiple simultaneous login attempts (same account),Session Management,Ensure system handles concurrent logins,User account exists,1. Open multiple tabs; 2. Attempt login in each tab simultaneously,System handles gracefully; clear guidance or error shown,,,Web,,High,P1
TC_029,Verify OTP delivery with multiple pending login attempts,Session Management,Ensure correct OTP delivery,User account exists,1. Open 3+ tabs; 2. Attempt login in each tab simultaneously,OTP delivered correctly; only one valid session created,,,Web,,High,P1
TC_030,Verify session inconsistency detection,Session Management,Ensure system handles state mismatch,User account exists,1. Login in duplicated tabs; 2. Modify session state in one tab; 3. Perform action in other tab,System maintains consistency or warns user,,,Web,,Medium,P2
TC_031,Verify tab closure and session persistence,Session Management,Ensure session remains active,User account exists,1. Login in multiple tabs; 2. Close some tabs; 3. Continue in remaining tabs,Session remains active in open tabs,,,Web,,Medium,P2
TC_032,Verify cross-tab navigation,Session Management,Ensure session is consistent across tabs,User account exists,1. Login in multiple tabs; 2. Switch between tabs,Session remains active; data is current,,,Web,,Medium,P2
TC_033,Verify browser refresh on duplicated tab,Session Management,Ensure session persists after refresh,User account exists,1. Login in duplicated tabs; 2. Refresh one tab,Session maintained; no re-authentication required,,,Web,,Medium,P2
TC_034,Verify new tab opening after login,Session Management,Ensure session persists in new tab,User account exists,1. Login in one tab; 2. Open new tab and navigate to app,Session maintained or re-authentication required (per design),,,Web,,Medium,P2
TC_035,Verify private/incognito tab session isolation,Session Management,Ensure separate authentication required,User account exists,1. Login in regular tab; 2. Open incognito tab; 3. Access app,Incognito tab requires separate authentication,,,Web,,High,P1
TC_036,Verify multiple user accounts in different tabs,Session Management,Ensure session isolation,User A and User B accounts exist,1. Login as User A in one tab; 2. Login as User B in another tab,System prevents simultaneous sessions or manages separately,,,Web,,High,P1
TC_037,Verify file upload across tabs,Session Management,Ensure uploads processed independently,User account exists,1. Login in multiple tabs; 2. Upload file in one tab; 3. Access app in other tab,Uploads processed independently; session maintained,,,Web,,Medium,P2
TC_038,Verify session timeout on one tab,Session Management,Ensure timeout handled across tabs,User account exists,1. Login in multiple tabs; 2. Wait for timeout in one tab; 3. Switch to other tab,System expands timeout or requires re-login (per design),,,Web,,Medium,P2
TC_039,Verify back button navigation after login,Session Management,Ensure secure session state,User account exists,1. Login in one tab; 2. Click back button multiple times in duplicated tab,Navigation to login page prevented; session state maintained,,,Web,,Medium,P2
TC_040,Verify popup/modal behavior across tabs,Session Management,Ensure modal state handled,User account exists,1. Login in multiple tabs; 2. Trigger modal in one tab; 3. Switch between tabs,Modal state preserved or handled; session continues,,,Web,,Medium,P2
TC_041,Verify session conflict when one tab logs out user globally,Session Management,Ensure session conflict handled,User account exists,1. Login in multiple tabs; 2. Logout in one tab; 3. Access protected resources in other tabs,Remaining tabs show logout confirmation or redirect to login,,,Web,,High,P1
TC_042,Verify TFA frequency configuration (every login/daily),TFA Configuration,Ensure TFA frequency is applied,Admin access to system settings,1. Set TFA frequency to 'every login'; 2. Login/logout multiple times,TFA required for every login,,,Web,,High,P1
TC_043,Verify TFA frequency configuration (daily mode),TFA Configuration,Ensure TFA frequency is applied,Admin access to system settings,1. Set TFA frequency to 'daily'; 2. Login multiple times same day,TFA required only once per day,,,Web,,High,P1
TC_044,Verify TFA reset at midnight (daily mode),TFA Configuration,Ensure TFA resets daily,Admin access to system settings,1. Set TFA frequency to 'daily'; 2. Login before and after midnight,TFA required again after midnight,,,Web,,Medium,P2
TC_045,Verify configuration change by admin (every to daily),TFA Configuration,Ensure configuration change applied,Admin access to system settings,1. Set TFA frequency to 'every login'; 2. Change to 'daily'; 3. Login,New logins follow 'daily' rule; existing sessions unaffected,,,Web,,High,P1
TC_046,Verify configuration change by admin (daily to every),TFA Configuration,Ensure configuration change applied,Admin access to system settings,1. Set TFA frequency to 'daily'; 2. Change to 'every login'; 3. Login,New logins follow 'every login' rule,,,Web,,High,P1
TC_047,Verify configuration audit logging,TFA Configuration,Ensure audit log is generated,Admin access to system settings,1. Change TFA frequency; 2. Check audit log,"Audit log shows timestamp, admin ID, previous and new setting",,,Web,,Medium,P2
TC_048,Verify configuration takes effect immediately for new sessions,TFA Configuration,Ensure new sessions respect new frequency,Admin access to system settings,1. Change TFA frequency; 2. Login with new session,New sessions follow new frequency; existing sessions unaffected,,,Web,,High,P1
TC_049,Verify concurrent configuration changes handled gracefully,TFA Configuration,Ensure conflict resolution,Admin access to system settings,1. Two admins change TFA frequency simultaneously,System resolves conflict; last-write-wins or locking applied,,,Web,,Medium,P2
TC_050,Verify invalid configuration value is rejected,TFA Configuration,Ensure only valid values accepted,Admin access to system settings,"1. Attempt to set unsupported value (e.g., 'weekly')",System rejects change; error shown; valid options presented,,,Web,,High,P1
TC_051,Verify configuration changed during active sessions,TFA Configuration,Ensure active sessions continue under old rule,Admin access to system settings; users logged in,1. Change TFA frequency; 2. Active users continue; new logins follow new rule,Active sessions continue; new logins follow new rule,,,Web,,High,P1
TC_052,Verify timezone handling for daily mode,TFA Configuration,Ensure daily reset applied per timezone,Admin access to system settings; users in multiple timezones,1. Set TFA frequency to 'daily'; 2. Login around midnight local time,Daily reset applied per user's timezone,,,Web,,Medium,P2
TC_053,Verify daylight saving time handling for daily mode,TFA Configuration,Ensure DST handled correctly,Admin access to system settings,1. Set TFA frequency to 'daily'; 2. Login during DST transition,TFA prompt not duplicated or skipped,,,Web,,Medium,P2
TC_054,Verify default configuration on fresh install,TFA Configuration,Ensure secure default applied,Fresh system install,1. Initialize system; 2. Check TFA frequency,Default is 'every login',,,Web,,Medium,P2
TC_055,Verify configuration persistence after system restart,TFA Configuration,Ensure configuration persists,Admin access to system settings,1. Set TFA frequency; 2. Restart system; 3. Check TFA frequency,Configuration persists as previously set,,,Web,,High,P1
TC_056,Verify rollback of configuration change,TFA Configuration,Ensure rollback restores previous rule,Admin access to system settings,1. Change TFA frequency; 2. Rollback to previous setting; 3. Login,Previous rule restored; new logins follow restored rule,,,Web,,Medium,P2
TC_057,Verify configuration visibility to admins,TFA Configuration,Ensure current setting is displayed,Admin access to system settings,1. Navigate to TFA configuration section,Current setting displayed; options to change,,,Web,,Medium,P2
TC_058,Verify report generation for TFA frequency changes,TFA Configuration,Ensure audit report is generated,Admin access to system settings,1. Generate report of configuration changes,Report shows all changes with timestamps and admin info,,,Web,,Low,P3
TC_059,Verify performance impact of frequent configuration changes,TFA Configuration,Ensure system handles rapid changes efficiently,Admin access to system settings,1. Change TFA frequency multiple times rapidly,System processes changes efficiently; no degradation,,,Web,,Medium,P2
